date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:55:09	22/22	---M--	200	added ('OK')	text/plain	date:Tue,%2004%20Jun%202024%2003:55:10%20GMT	https://www.michaonsol.com/robots.txt		(from )
22:55:11	56700/56700	---MCZ	200	added ('OK')	text/html	date:Tue,%2004%20Jun%202024%2003:55:11%20GMT	https://www.michaonsol.com/	C:/Users/Diego/Desktop/Robo%20webzittt/https___www.michaonsol.com_/www.michaonsol.com/index.html	(from )
22:55:12	134/134	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2004%20Jun%202024%2003:55:13%20GMT	https://static.ladipage.net/63b3d7bebcd4e8001229d39c/afda8c3498775702d66a658eeea93186-20240506060017-2cb5h.jpg	C:/Users/Diego/Desktop/Robo%20webzittt/https___www.michaonsol.com_/static.ladipage.net/63b3d7bebcd4e8001229d39c/afda8c3498775702d66a658eeea93186-20240506060017-2cb5h.0.delayed	(from https://www.michaonsol.com/)
22:55:13	22910/22910	---MCZ	200	added ('OK')	image/jpeg	date:Mon,%2006%20May%202024%2007:01:34%20GMT	https://w.ladicdn.com:443/63b3d7bebcd4e8001229d39c/afda8c3498775702d66a658eeea93186-20240506060017-2cb5h.jpg	C:/Users/Diego/Desktop/Robo%20webzittt/https___www.michaonsol.com_/w.ladicdn.com_443/63b3d7bebcd4e8001229d39c/afda8c3498775702d66a658eeea93186-20240506060017-2cb5h.jpg	(from https://www.michaonsol.com/)
22:55:13	404197/404197	---MCZ	200	added ('OK')	text/javascript	date:Mon,%2003%20Jun%202024%2003:43:14%20GMT	https://w.ladicdn.com/v4/source/ladipagev3.min.js?v=1717386058968	C:/Users/Diego/Desktop/Robo%20webzittt/https___www.michaonsol.com_/w.ladicdn.com/v4/source/ladipagev3.minb110.js	(from https://www.michaonsol.com/)
22:55:13	29049/29049	---MCZ	200	added ('OK')	image/png	date:Sat,%2004%20May%202024%2003:53:22%20GMT	https://w.ladicdn.com/s400x400/63b3d7bebcd4e8001229d39c/icondex-20240504033856-fxpq2.png	C:/Users/Diego/Desktop/Robo%20webzittt/https___www.michaonsol.com_/w.ladicdn.com/s400x400/63b3d7bebcd4e8001229d39c/icondex-20240504033856-fxpq2.png	(from https://www.michaonsol.com/)
22:55:13	19585/19585	---MCZ	200	added ('OK')	image/png	date:Mon,%2006%20May%202024%2007:01:52%20GMT	https://w.ladicdn.com/s400x400/63b3d7bebcd4e8001229d39c/tg-button-20240506060452-fbcry.png	C:/Users/Diego/Desktop/Robo%20webzittt/https___www.michaonsol.com_/w.ladicdn.com/s400x400/63b3d7bebcd4e8001229d39c/tg-button-20240506060452-fbcry.png	(from https://www.michaonsol.com/)
22:55:13	21311/21311	---MCZ	200	added ('OK')	image/png	date:Mon,%2006%20May%202024%2007:01:52%20GMT	https://w.ladicdn.com/s400x400/63b3d7bebcd4e8001229d39c/x-button-1-20240506060452-sedex.png	C:/Users/Diego/Desktop/Robo%20webzittt/https___www.michaonsol.com_/w.ladicdn.com/s400x400/63b3d7bebcd4e8001229d39c/x-button-1-20240506060452-sedex.png	(from https://www.michaonsol.com/)
22:55:14	225305/225305	---MCZ	200	added ('OK')	image/png	date:Tue,%2004%20Jun%202024%2001:44:37%20GMT	https://w.ladicdn.com/s450x450/63b3d7bebcd4e8001229d39c/665c9690270b42c303de9dd4_eifell1-1f-20240604011301-ptdcy.png	C:/Users/Diego/Desktop/Robo%20webzittt/https___www.michaonsol.com_/w.ladicdn.com/s450x450/63b3d7bebcd4e8001229d39c/665c9690270b42c303de9dd4_eifell1-1f-20240604011301-ptdcy.png	(from https://www.michaonsol.com/)
22:55:14	2275186/2275186	---MCZ	200	added ('OK')	image/png	date:Tue,%2004%20Jun%202024%2001:23:08%20GMT	https://w.ladicdn.com/s700x1900/63b3d7bebcd4e8001229d39c/cheese-pattern-background-1-1-20240604004800-vo0kt.png	C:/Users/Diego/Desktop/Robo%20webzittt/https___www.michaonsol.com_/w.ladicdn.com/s700x1900/63b3d7bebcd4e8001229d39c/cheese-pattern-background-1-1-20240604004800-vo0kt.png	(from https://www.michaonsol.com/)
